top_rank,name,percent
1,Nothingshown,"1,000"
2,Nothingshown,"1,000"
3,Nothingshown,"1,000"
1,Nothingshown,"0,995"
1,PctBornSameStatenumeric,"0,005"
2,Nothingshown,"0,995"
2,populationnumeric,"0,005"
3,Nothingshown,"0,995"
3,numbUrbannumeric,"0,005"
